timestamp,load_kw,temperature_c,humidity_percent
2026-01-01T00:00:00Z,118.2,14.1,72.0
2026-01-01T01:00:00Z,114.7,13.8,73.0
2026-01-01T02:00:00Z,112.9,13.5,74.0
2026-01-01T03:00:00Z,111.8,13.2,75.0
2026-01-01T04:00:00Z,113.4,13.0,76.0
2026-01-01T05:00:00Z,119.6,13.3,75.0
2026-01-01T06:00:00Z,131.5,14.0,72.0
2026-01-01T07:00:00Z,145.2,15.2,68.0
2026-01-01T08:00:00Z,151.8,16.5,64.0
2026-01-01T09:00:00Z,154.3,17.7,60.0
2026-01-01T10:00:00Z,152.6,18.8,57.0
2026-01-01T11:00:00Z,149.9,19.6,54.0
2026-01-01T12:00:00Z,147.1,20.2,52.0
2026-01-01T13:00:00Z,146.4,20.6,50.0
2026-01-01T14:00:00Z,148.8,20.8,49.0
2026-01-01T15:00:00Z,153.7,20.5,50.0
2026-01-01T16:00:00Z,162.1,19.8,53.0
2026-01-01T17:00:00Z,174.6,18.9,57.0
2026-01-01T18:00:00Z,181.3,17.8,61.0
2026-01-01T19:00:00Z,178.5,16.9,65.0
